City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
216,Parksville,CA,49.3163,-124.3195,38.84,83,66,1.01,broken clouds
217,Touros,BR,-5.1989,-35.4608,88.7,59,7,15.52,clear sky
218,Gorontalo,ID,0.5412,123.0595,76.23,96,99,3.87,overcast clouds
219,Fort Frances,CA,48.5999,-93.4003,35.06,67,1,3.0,clear sky
220,Maseru,LS,-29.3167,27.4833,64.8,79,95,4.83,light rain
221,Katherine,AU,-14.4667,132.2667,82.72,61,38,6.91,scattered clouds
222,Puerto Ayora,EC,-0.7393,-90.3518,75.16,93,99,4.0,overcast clouds
223,Koumac,NC,-20.5667,164.2833,75.87,88,100,4.0,moderate rain
224,Rocha,UY,-34.4833,-54.3333,87.85,34,21,4.83,few clouds
225,Iwanai,JP,42.9744,140.5089,27.52,77,100,23.22,light snow
226,Gamba,GA,-2.65,10.0,76.39,89,100,2.95,overcast clouds
227,Laguna,US,38.421,-121.4238,53.44,87,90,1.99,mist
228,Tempio Pausania,IT,40.8974,9.1035,43.72,75,4,2.01,clear sky
229,Torbay,CA,47.6666,-52.7314,56.75,93,90,37.98,light rain
230,Fushe-Arrez,AL,42.0622,20.0167,32.41,97,100,8.19,overcast clouds
231,Sallama,IL,32.8944,35.3693,68.32,36,100,9.31,overcast clouds
232,Coihaique,CL,-45.5752,-72.0662,59.61,47,75,11.5,broken clouds
233,Fukuma,JP,33.7667,130.4667,53.29,63,99,16.58,overcast clouds
234,Sorland,NO,67.667,12.6934,39.06,72,94,12.21,overcast clouds
235,Lethem,GY,3.3803,-59.7968,88.63,54,100,9.75,light rain
236,Olinda,BR,-8.0089,-34.8553,85.73,62,20,10.36,few clouds
237,Havoysund,NO,70.9963,24.6622,30.43,89,100,8.46,light snow
238,Vanimo,PG,-2.6741,141.3028,79.07,90,100,9.42,overcast clouds
239,Sola,VU,-13.8833,167.55,81.39,78,100,16.6,light rain
240,Nador,MA,35.174,-2.9287,64.47,77,0,3.44,clear sky
241,Lexington,US,37.9887,-84.4777,43.99,55,1,1.01,clear sky
242,Goderich,CA,43.7501,-81.7165,41.92,70,6,19.57,clear sky
243,Lakhipur,IN,26.0299,90.3041,60.84,70,21,2.28,few clouds
244,Hay River,CA,60.8156,-115.7999,-2.22,78,75,10.36,broken clouds
245,Zhigalovo,RU,54.8097,105.1578,21.99,87,100,9.89,overcast clouds
246,Saint-Augustin,CA,51.226,-58.6502,38.48,95,100,24.9,overcast clouds
247,Khovu-Aksy,RU,51.1333,93.6,3.36,87,89,2.33,overcast clouds
248,Leh,IN,34.1667,77.5833,10.8,54,97,1.97,overcast clouds
249,Samarai,PG,-10.6167,150.6667,81.48,81,100,12.66,overcast clouds
250,Port Lincoln,AU,-34.7333,135.8667,60.15,80,59,15.86,broken clouds
251,Kangaatsiaq,GL,68.3065,-53.4641,17.49,95,99,3.98,overcast clouds
252,Suntar,RU,62.1444,117.6319,-15.0,93,99,5.12,overcast clouds
253,Berekum,GH,7.4534,-2.584,90.28,28,99,2.42,overcast clouds
254,Fairbanks,US,64.8378,-147.7164,-5.78,70,90,0.0,haze
255,Kribi,CM,2.95,9.9167,81.84,79,99,10.18,overcast clouds
256,Rocky Mountain House,CA,52.3668,-114.9188,17.83,85,35,2.3,scattered clouds
